NOME_SOCIAL,CNPJ_CPF,SITUACAO,DT_REGISTRO,UF,MUNICIPIO,CATEG_REG,SUBCATEG,EMAIL,SITE,TELEFONE,LOGRADOURO,COMPL,CEP,PATRIM_LIQ,DT_PATRIM,CONTROLE,IS_MFO,SCORE_MA,N_SOCIOS
IGF WEALTH MANAGEMENT LTDA,03.282.508/0001-18,EM FUNCIONAMENTO NORMAL,1999-09-13,SP,SÃO PAULO,Gestor de Carteira,,contato@igfwm.com,http://www.fractalasset.com.br,55558510,"AV. BRIGADEIRO FARIA LIMA, 3477","BLOCO A, 4º ANDAR, CJ.43",4538133,1114071.14,2012-12-31,PRIVADO,True,8.5,3
ARBITRAL GESTÃO DE RECURSOS LTDA,17.090.900/0001-70,EM FUNCIONAMENTO NORMAL,2013-02-04,RJ,RIO DE JANEIRO,Gestor de Carteira,,rteixeira@arbitral.com.br,www.arbitral.com.br,35092000,"PRAÇA SANTOS DUMONT, 70",5º ANDAR,22470060,,,PRIVADO,True,8.0,0
ALOCC GESTÃO PATRIMONIAL LTDA.,08.228.243/0001-93,EM FUNCIONAMENTO NORMAL,2011-12-23,RJ,RIO DE JANEIRO,Gestor de Carteira,,notificacoes@alocc.com.br,www.alocc.com.br,37217777,"RUA VISCONDE DE PIRAJA, 82",11º ANDAR,22410000,,,PRIVADO,True,8.0,20
B.SIDE WEALTH MANAGEMENT GESTÃO DE RECURSOS LTDA,15.555.601/0001-38,EM FUNCIONAMENTO NORMAL,2012-08-24,SP,SÃO PAULO,Gestor de Carteira,,gestao@bsideinvestimentos.com,https://bsideinvestimentos.com.br/,45024460,Rua Joaquim Floriano,17° andar,4534004,,,PRIVADO,True,8.0,23
AZ GUIDANCE GESTÃO DE PATRIMÔNIO LTDA.,16.987.291/0001-93,EM FUNCIONAMENTO NORMAL,2013-02-07,RJ,RIO DE JANEIRO,Gestor de Carteira,,guidance@guidancegestora.com.br,www.guidance.com.br,23231178,"AV. ATAULFO DE PAIVA, 1251/SALA 801",,22440034,,,PRIVADO,True,8.0,26
AURUM GESTÃO DE PATRIMÔNIO LTDA.,33.534.220/0001-54,EM FUNCIONAMENTO NORMAL,2020-01-07,SP,SÃO PAULO,Gestor de Carteira,,hugh@aurumwm.com.br,www.aurumwm.com.br,48615721,"AVENIDA BRIGADEIRO FARIA LIMA, 4440",11O ANDAR,4538132,,,PRIVADO,True,8.0,6
AWARE GESTÃO DE RECURSOS LTDA.,25.187.201/0001-70,EM FUNCIONAMENTO NORMAL,2016-12-05,RJ,RIO DE JANEIRO,Gestor de Carteira,,mqsilva@awaregestao.com,www.awaregestao.com,39937680,"PRAÇA SANTOS DUMONT, 70",SALA 202,22470060,,,PRIVADO,True,8.0,6
EFFIKA INVESTIMENTOS - GESTORA DE PATRIMÔNIO LTDA,19.569.363/0001-70,EM FUNCIONAMENTO NORMAL,2014-06-25,SP,SÃO PAULO,Gestor de Carteira,,contato@effika.com.br,www.effika.com.br,26148767,"RUA DOS PINHEIROS, 870",CONJ 103,5422001,,,PRIVADO,True,8.0,12
EST GESTÃO DE PATRIMÔNIO LTDA.,08.968.113/0001-97,EM FUNCIONAMENTO NORMAL,2011-05-24,SP,SÃO PAULO,Gestor de Carteira,,estgp@estgp.com.br,www.estgp.com.br,59901020,"RUA HUNGRIA, 514",CONJ. 161,1455000,,,PRIVADO,True,8.0,8
CVPAR HIERON INVESTIMENTOS LTDA,10.464.748/0001-07,EM FUNCIONAMENTO NORMAL,2018-03-27,SP,SÃO PAULO,Gestor de Carteira,,compliance@cvpar.com.br,www.cvpar.com.br,999864098,"Avenida Brigadeiro Faria Lima, 3477, 3477",Torre A - 8º andar,4538133,,,PRIVADO,True,8.0,1
